n	k	tiempo
100	1	22159893
100	2	19302916
100	3	13931049
100	4	15150372
100	5	13425608
100	6	13104710
100	7	12375109
100	8	12540062
100	9	12296870
100	10	12119655
100	11	13338946
100	12	12054788
100	13	13042380
100	14	12139937
100	15	11949509
100	16	12695136
100	17	12957479
100	18	13307746
100	19	12911397
100	20	13587763
100	21	14235506
100	22	14088158
100	23	13511593
100	24	13935350
100	25	14824733
100	26	14829423
100	27	15089620
100	28	15668994
100	29	17284579
100	30	19750707
100	31	20022048
100	32	18540219
100	33	21281987
100	34	20894599
100	35	23391520
100	36	24643592
100	37	24443971
100	38	25303083
100	39	24960588
100	40	25184581
100	41	25729201
100	42	26791082
100	43	28151946
100	44	27718083
100	45	28607669
100	46	29525740
100	47	33825267
100	48	31147438
100	49	33516958
100	50	39757292
100	51	38298768
100	52	37633764
100	53	35688721
100	54	36817403
100	55	41734623
100	56	42217500
100	57	41852419
100	58	46096782
100	59	44430353
100	60	48534596
100	61	53667410
100	62	56684150
100	63	57332623
100	64	60132246
100	65	62440443
100	66	63413785
100	67	63825777
100	68	67236193
100	69	69611244
100	70	70543277
100	71	68512889
100	72	73598147
100	73	73285883
100	74	76340496
100	75	81823531
100	76	81922533
100	77	76458750
100	78	84130698
100	79	87670973
100	80	87754935
100	81	90485593
100	82	92395276
100	83	94477494
100	84	98452505
100	85	103239000
100	86	109222580
100	87	107263079
100	88	115208773
100	89	122619461
100	90	125678577
100	91	132064228
100	92	133944551
100	93	136217424
100	94	139629625
100	95	150599084
100	96	155453115
100	97	153406657
100	98	151467573
100	99	162580830
100	100	150217113
